,Date,Total_Stocks_Scanned,Stocks_Above_MA20,Stocks_Below_MA20,Stocks_Above_MA50,Stocks_Below_MA50,Stocks_Up_4.5pct_Today,Stocks_Down_4.5pct_Today,Stocks_Up_20pct_5Days,Stocks_Down_20pct_5Days
113,2026-04-21,499,476,23,384,115,17,0,3,0
114,2026-04-22,499,472,27,383,116,25,6,2,0
115,2026-04-23,499,467,32,364,135,14,6,2,0
116,2026-04-24,499,419,80,334,165,3,19,1,0
117,2026-04-27,499,442,57,372,127,39,2,0,0
118,2026-04-28,499,421,78,360,139,8,1,2,0
119,2026-04-29,499,416,83,373,126,15,2,1,0
120,2026-04-30,499,367,132,360,139,7,11,1,1
121,2026-05-01,435,311,124,312,123,0,0,1,1
122,2026-05-04,499,369,130,379,120,30,10,2,1
123,2026-05-05,499,352,147,376,123,10,7,2,1
124,2026-05-06,499,398,101,420,79,40,2,3,1
125,2026-05-07,499,400,99,426,73,18,2,4,0
126,2026-05-08,499,375,124,425,74,18,8,8,0
127,2026-05-11,499,295,204,396,103,11,27,2,0
128,2026-05-12,498,166,332,328,170,2,77,0,0
129,2026-05-13,498,183,315,334,164,14,5,0,0
130,2026-05-14,498,197,301,346,152,19,5,0,1
131,2026-05-15,498,185,313,343,155,11,12,0,1
132,2026-05-18,498,137,361,317,181,4,22,0,1
133,2026-05-19,498,178,320,334,164,20,1,1,1
