,Symbol,Date,Close,Volume,MA20,MA50,Daily_Return,5Day_Return,Above_MA20,Below_MA20,Above_MA50,Below_MA50,Up_4.5pct_Today,Down_4.5pct_Today,Up_20pct_5Days,Down_20pct_5Days
0,360ONE.NS,2025-12-17,1119.6007080078125,1050366.0,1135.279736328125,1117.0673657226562,-0.6440856284961494,2.1127927216193942,False,True,True,False,False,False,False,False
1,360ONE.NS,2025-12-18,1136.60205078125,356957.0,1135.3344177246095,1118.642451171875,1.5185184014119946,0.6515130517727563,True,False,True,False,False,False,False,False
2,360ONE.NS,2025-12-19,1132.326904296875,1662158.0,1135.2946533203126,1119.8174682617187,-0.37613397595371856,-0.2889099408689755,False,True,True,False,False,False,False,False
3,360ONE.NS,2025-12-22,1158.7733154296875,332048.0,1137.0693481445312,1121.5392211914063,2.3355809203557287,1.817068083796003,True,False,True,False,False,False,False,False
4,360ONE.NS,2025-12-23,1174.8797607421875,473322.0,1140.1365356445312,1123.3714135742186,1.3899565254078539,4.261503293278701,True,False,True,False,False,False,False,False
5,360ONE.NS,2025-12-24,1189.0972900390625,1291909.0,1142.4232604980468,1125.3633178710938,1.2101263271310003,6.207264923484224,True,False,True,False,False,False,False,False
6,360ONE.NS,2025-12-26,1172.5931396484375,223587.0,1143.0595703125,1126.5246069335938,-1.3879562697584502,3.1665514629723557,True,False,True,False,False,False,False,False
7,360ONE.NS,2025-12-29,1163.8438720703125,223221.0,1142.433203125,1126.844189453125,-0.7461469185081726,2.783380634500432,True,False,True,False,False,False,False,False
8,360ONE.NS,2025-12-30,1184.72265625,939031.0,1142.5475341796875,1127.355810546875,1.793950604607053,2.239380254514245,True,False,True,False,False,False,False,False
9,360ONE.NS,2025-12-31,1183.1319580078125,357058.0,1143.8947143554688,1127.97212890625,-0.1342675632812318,0.7023865370199278,True,False,True,False,False,False,False,False
10,360ONE.NS,2026-01-01,1172.891357421875,132449.0,1145.465594482422,1128.019609375,-0.8655501625685846,-1.3628769279808162,True,False,True,False,False,False,False,False
11,360ONE.NS,2026-01-02,1193.1737060546875,343492.0,1149.0547607421875,1128.6290283203125,1.7292606433212176,1.755132766035139,True,False,True,False,False,False,False,False
12,360ONE.NS,2026-01-05,1192.080078125,458955.0,1151.6546752929687,1129.1473315429687,-0.09165705916397426,2.426116314421045,True,False,True,False,False,False,False,False
13,360ONE.NS,2026-01-06,1180.1492919921875,388064.0,1154.5777099609375,1129.292490234375,-1.0008376410063136,-0.38602826017428704,True,False,True,False,False,False,False,False
14,360ONE.NS,2026-01-07,1184.921630859375,1265898.0,1158.2513854980468,1129.6663208007812,0.4043843350642007,0.15126570112906634,True,False,True,False,False,False,False,False
15,360ONE.NS,2026-01-08,1176.072998046875,1029259.0,1162.2332702636718,1129.8870385742186,-0.7467694556375415,0.2712647343564356,True,False,True,False,False,False,False,False
16,360ONE.NS,2026-01-09,1134.3153076171875,1067665.0,1162.4867919921876,1130.1693994140626,-3.550603618911008,-4.9329278829081336,False,True,True,False,False,False,False,False
17,360ONE.NS,2026-01-12,1123.975341796875,2217034.0,1161.9051696777344,1130.3861401367187,-0.9115601059843992,-5.713100787259662,False,True,False,True,False,False,False,False
18,360ONE.NS,2026-01-13,1130.239013671875,732421.0,1161.512451171875,1131.5016650390626,0.5572784065695169,-4.22914953717931,False,True,False,True,False,False,False,False
19,360ONE.NS,2026-01-14,1142.5673828125,665428.0,1162.2978881835938,1132.60724609375,1.0907754016181936,-3.574434540127114,False,True,True,False,False,False,False,False
20,360ONE.NS,2026-01-16,1190.7874755859375,4335885.0,1165.8572265625,1134.965556640625,4.220328139837215,1.251153420195772,True,False,True,False,False,False,False,False
21,360ONE.NS,2026-01-19,1163.3468017578125,4730830.0,1167.1944641113282,1136.9917944335937,-2.304414044548342,2.559384850550095,False,True,True,False,False,False,False,False
22,360ONE.NS,2026-01-20,1123.08056640625,1700344.0,1166.7321472167969,1138.2564526367187,-3.461240903462348,-0.07960809791383028,False,True,False,True,False,False,False,False
23,360ONE.NS,2026-01-21,1088.978515625,841203.0,1163.2424072265626,1138.6680639648437,-3.0364741231676096,-3.6505993464895137,False,True,False,True,False,False,False,False
24,360ONE.NS,2026-01-22,1099.9150390625,1863695.0,1159.4941711425781,1139.389873046875,1.004291937864643,-3.7330265498222603,False,True,False,True,False,False,False,False
25,360ONE.NS,2026-01-23,1105.8804931640625,1476232.0,1155.3333312988282,1139.8531860351563,0.5423558992926569,-7.130322090438157,False,True,False,True,False,False,False,False
26,360ONE.NS,2026-01-27,1107.2723388671875,2585701.0,1152.0672912597656,1140.411943359375,0.1258585997066186,-4.820098598792444,False,True,False,True,False,False,False,False
27,360ONE.NS,2026-01-28,1133.3211669921875,1596026.0,1150.5411560058594,1141.8933447265624,2.3525222486501907,0.9118313407119549,False,True,False,True,False,False,False,False
28,360ONE.NS,2026-01-29,1129.244873046875,927491.0,1147.767266845703,1143.16595703125,-0.3596768563081665,3.697626431019607,False,True,False,True,False,False,False,False
29,360ONE.NS,2026-01-30,1127.7535400390625,959196.0,1144.9983459472655,1144.2854614257812,-0.13206462507894257,2.5309683009962614,False,True,False,True,False,False,False,False
30,360ONE.NS,2026-02-02,1104.0908203125,1295821.0,1141.5583190917969,1144.1124682617187,-2.09821728653079,-0.16183239171188024,False,True,False,True,False,False,False,False
31,360ONE.NS,2026-02-03,1160.8612060546875,1208601.0,1139.942694091797,1144.6195239257813,5.1418220945011806,4.839718767139511,True,False,True,False,True,False,False,False
32,360ONE.NS,2026-02-04,1159.369873046875,991518.0,1138.3071838378905,1145.1444775390626,-0.12846781338149427,2.2984399138878064,True,False,True,False,False,False,False,False
33,360ONE.NS,2026-02-05,1134.2159423828125,879272.0,1136.010516357422,1145.3632080078125,-2.1696208646475257,0.4402118136277,False,True,False,True,False,False,False,False
34,360ONE.NS,2026-02-06,1107.47119140625,561036.0,1132.1379943847655,1145.2419116210938,-2.3579946267000884,-1.798473506197995,False,True,False,True,False,False,False,False
35,360ONE.NS,2026-02-09,1131.7303466796875,357498.0,1129.9208618164062,1145.0092626953126,2.1904998939641596,2.5033743473534598,True,False,False,True,False,False,False,False
36,360ONE.NS,2026-02-10,1155.6912841796875,1057832.0,1130.9896606445313,1144.9257495117188,2.1171949281290736,-0.4453522822569389,True,False,True,False,False,False,False,False
37,360ONE.NS,2026-02-11,1131.829833984375,766800.0,1131.3823852539062,1144.034921875,-2.0646906766498163,-2.3754316635918427,True,False,False,True,False,False,False,False
38,360ONE.NS,2026-02-12,1137.795166015625,568928.0,1131.7601928710938,1143.1421044921874,0.5270520224979647,0.31556809414026166,True,False,False,True,False,False,False,False
39,360ONE.NS,2026-02-13,1120.2967529296875,471438.0,1130.646661376953,1142.4242724609376,-1.537922959122262,1.1580943705769675,False,True,False,True,False,False,False,False
40,360ONE.NS,2026-02-16,1113.1383056640625,761308.0,1126.7642028808593,1141.8575634765625,-0.6389777750319237,-1.642797780422789,False,True,False,True,False,False,False,False
41,360ONE.NS,2026-02-17,1118.109375,884322.0,1124.5023315429687,1141.791943359375,0.4465814634751819,-3.2518986423232588,False,True,False,True,False,False,False,False
42,360ONE.NS,2026-02-18,1120.6943359375,311999.0,1124.3830200195312,1141.4041943359375,0.23119034642742342,-0.9838491363736823,False,True,False,True,False,False,False,False
43,360ONE.NS,2026-02-19,1098.1253662109375,648460.0,1124.8403625488281,1140.9329296875,-2.0138381182843057,-3.486550214798745,False,True,False,True,False,False,False,False
44,360ONE.NS,2026-02-20,1094.2479248046875,405322.0,1124.5570068359375,1140.58892578125,-0.35309642464858015,-2.325172152546162,False,True,False,True,False,False,False,False
45,360ONE.NS,2026-02-23,1120.3961181640625,793296.0,1125.2827880859375,1141.0681420898438,2.389604107683563,0.6520135425283291,False,True,False,True,False,False,False,False
46,360ONE.NS,2026-02-24,1106.97412109375,432011.0,1125.2678771972655,1140.6227270507814,-1.1979689015976347,-0.9959002361687563,False,True,False,True,False,False,False,False
47,360ONE.NS,2026-02-25,1125.2679443359375,682336.0,1124.865216064453,1140.4159301757813,1.6525971920745786,0.4081048910282492,True,False,False,True,False,False,False,False
48,360ONE.NS,2026-02-26,1121.7880859375,628620.0,1124.4923767089845,1140.08982421875,-0.30924709229952496,2.154828624732552,False,True,False,True,False,False,False,False
49,360ONE.NS,2026-02-27,1097.2305908203125,1253674.0,1122.9662292480468,1139.4972631835938,-2.1891385213513193,0.27257680348422575,False,True,False,True,False,False,False,False
50,360ONE.NS,2026-03-02,1068.497314453125,1837718.0,1121.1865539550781,1138.4751953125,-2.618709012269327,-4.632183463468397,False,True,False,True,False,False,False,False
51,360ONE.NS,2026-03-04,1060.245361328125,1197644.0,1116.15576171875,1136.9480615234374,-0.7722951675572021,-4.221305527852315,False,True,False,True,False,False,False,False
52,360ONE.NS,2026-03-05,1074.7611083984375,315551.0,1111.9253234863281,1135.7967456054687,1.3690931929312367,-4.488427506686499,False,True,False,True,False,False,False,False
53,360ONE.NS,2026-03-06,1058.0579833984375,276113.0,1108.1174255371093,1133.7824389648438,-1.5541244346746308,-5.6811177920295,False,True,False,True,False,False,False,False
54,360ONE.NS,2026-03-09,1029.1259765625,1439537.0,1104.2001647949219,1130.86736328125,-2.7344443584281786,-6.206955477507792,False,True,False,True,False,False,False,False
55,360ONE.NS,2026-03-10,1049.70654296875,326555.0,1100.098974609375,1128.0795483398438,1.9998102151685515,-1.7586166319933594,False,True,False,True,False,False,False,False
56,360ONE.NS,2026-03-11,1042.0509033203125,745098.0,1094.4169555664062,1125.4687036132811,-0.7293123682725722,-1.7160610809012211,False,True,False,True,False,False,False,False
57,360ONE.NS,2026-03-12,1037.3780517578125,934229.0,1089.6943664550781,1122.9393872070314,-0.448428339499618,-3.4782665978983607,False,True,False,True,False,False,False,False
58,360ONE.NS,2026-03-13,1021.4703979492188,582449.0,1083.8781280517578,1119.6743420410157,-1.5334480791875826,-3.457994365460104,False,True,False,True,False,False,False,False
59,360ONE.NS,2026-03-16,1016.9963989257812,331156.0,1078.7131103515626,1116.351630859375,-0.43799595489206755,-1.178629041823831,False,True,False,True,False,False,False,False
