Date,Advance_Decline_Ratio,MA20_Strength,Market_Momentum,Participation_Rate,Extreme_Move_Ratio,Extreme_Momentum_Bias,Extreme_Volatility_Indicator,Price_Volatility_Ratio,Trend_Strength,Advance_Decline_Ratio_lag1,MA20_Strength_lag1,Market_Momentum_lag1,Participation_Rate_lag1,Extreme_Move_Ratio_lag1,Extreme_Momentum_Bias_lag1,Momentum_Change_5d,Breadth_Acceleration,Extreme_Momentum_Change,Extreme_Move_Acceleration
2025-09-29,0.054067221270275766,0.21285140562248997,-0.5742971887550201,0.03413654618473896,0.0,0.0,1.5552078676799286,0.7519593538246203,-0.016326446940158723,1.0986122886681096,0.41164658634538154,-0.17670682730923695,0.008032128514056224,0.0,0.0,-1.1004016064257027,-0.6430976430976431,-0.004016064257028112,-1.0
2025-09-30,0.9162907318741551,0.22088353413654618,-0.5582329317269076,0.03614457831325301,0.002006018726865741,0.002006018726865741,0.8887895383927574,1.10529780993044,-0.015257104012588063,0.054067221270275766,0.21285140562248997,-0.5742971887550201,0.03413654618473896,0.0,0.0,-0.8755020080321285,-0.5752895752895753,-0.006024096385542168,0.0
2025-10-01,1.0986122886681096,0.25301204819277107,-0.4939759036144578,0.014056224899598393,0.002006018726865741,0.002006018726865741,0.6666666666666666,1.1842027180736556,-0.015494311154423901,0.9162907318741551,0.22088353413654618,-0.5582329317269076,0.03614457831325301,0.002006018726865741,0.002006018726865741,-0.6867469879518072,-0.3853658536585366,-0.002008032128514056,3.0
2025-10-03,2.9444389791664403,0.3313253012048193,-0.3373493975903614,0.03413654618473896,0.002006018726865741,0.002006018726865741,0.6666666666666667,1.6288501165828888,-0.007221206932692459,1.0986122886681096,0.25301204819277107,-0.4939759036144578,0.014056224899598393,0.002006018726865741,0.002006018726865741,-0.37751004016064255,0.5566037735849056,0.0,3.0
2025-10-06,2.3513752571634776,0.40963855421686746,-0.18072289156626506,0.03815261044176707,0.002006018726865741,0.002006018726865741,0.8421052631578947,1.6006001207612532,-0.0033662286434463784,2.9444389791664403,0.3313253012048193,-0.3373493975903614,0.03413654618473896,0.002006018726865741,0.002006018726865741,-0.004016064257028107,0.8545454545454545,0.002008032128514056,0.0
2025-10-07,1.8718021769015913,0.43373493975903615,-0.13253012048192772,0.02208835341365462,0.0,0.0,0.9411764705882352,0.6736999083694926,0.002039046227061636,2.3513752571634776,0.40963855421686746,-0.18072289156626506,0.03815261044176707,0.002006018726865741,0.002006018726865741,0.4417670682730924,0.7142857142857144,0.0,-1.0
2025-10-08,1.3862943611198906,0.45180722891566266,-0.0963855421686747,0.020080321285140562,0.002006018726865741,0.002006018726865741,1.0,0.6542305239667539,0.0030448525602193577,1.8718021769015913,0.43373493975903615,-0.13253012048192772,0.02208835341365462,0.0,0.0,0.4618473895582329,0.36363636363636354,0.0,0.0
2025-10-09,0.6061358035703156,0.36947791164658633,-0.26104417670682734,0.018072289156626505,0.0,0.0,0.8,0.9130296378249629,-0.0016290584720943801,1.3862943611198906,0.45180722891566266,-0.0963855421686747,0.020080321285140562,0.002006018726865741,0.002006018726865741,0.23293172690763048,-0.0980392156862745,-0.002008032128514056,-1.0
2025-10-13,1.0986122886681096,0.4718875502008032,-0.05622489959839357,0.02610441767068273,0.0,0.0,0.2857142857142857,0.7820064632462188,0.0073538619370361324,1.5404450409471488,0.4357429718875502,-0.1285140562248996,0.024096385542168676,0.0,0.0,0.12449799196787148,0.04444444444444429,-0.002008032128514056,-1.0
2025-10-23,1.6094379124341003,0.6365461847389559,0.27309236947791166,0.006024096385542169,0.006006024060211875,0.006006024060211875,1.090909090909091,0.5584775247290468,0.023597346432483013,1.9459101490553132,0.5542168674698795,0.10843373493975904,0.03815261044176707,0.0,0.0,0.5863453815261044,0.17407407407407427,0.006024096385542169,3.0
2025-10-24,0.7621400520468967,0.6104417670682731,0.22088353413654618,0.02610441767068273,0.002006018726865741,0.002006018726865741,1.6,0.559372769019926,0.022506679919186645,1.6094379124341003,0.6365461847389559,0.27309236947791166,0.006024096385542169,0.006006024060211875,0.006006024060211875,0.3333333333333333,0.23076923076923084,0.002008032128514056,3.0
2025-10-28,2.3978952727983707,0.6184738955823293,0.23694779116465864,0.018072289156626505,0.002006018726865741,0.002006018726865741,2.0,0.7015724016511008,0.0232433688892828,1.9459101490553132,0.5983935742971888,0.19678714859437751,0.010040160642570281,0.0,0.0,0.24497991967871485,-0.028391167192429068,0.002008032128514056,-0.6666666666666667
2025-10-29,1.2809338454620645,0.5943775100401606,0.18875502008032127,0.0321285140562249,0.0,0.0,2.0,0.8658274448571246,0.01962102685729339,2.3978952727983707,0.6184738955823293,0.23694779116465864,0.018072289156626505,0.002006018726865741,0.002006018726865741,0.08032128514056223,-0.026315789473684403,0.0,-1.0
2025-10-31,1.8718021769015913,0.6332665330661322,0.2665330661322645,0.022044088176352707,0.002002002670673077,0.002002002670673077,0.888195991091314,1.1423052064960137,0.015805503591792336,1.0498221244986778,0.6893787575150301,0.3787575150300601,0.036072144288577156,0.0,0.0,0.045649531995718334,0.02391796580173322,-4.024112481992078e-06,-0.002004008016032066
2025-11-03,0.7731898882334818,0.5270541082164328,0.05410821643286573,0.022044088176352707,0.004000005333346133,0.004000005333346133,1.598556246240225,1.2425936567495848,0.008547848490034538,1.8718021769015913,0.6332665330661322,0.2665330661322645,0.022044088176352707,0.002002002670673077,0.002002002670673077,-0.14267893216151178,-0.11326707468992037,0.004008016032064128,3.0
